Simulation Run Number	T-R Separation Distance (m)	Time Delay (ns)	Received Power (dBm)	 Phase (rad)	Azimuth AoD (degree)	Elevation AoD (degree)	Azimuth AoA (degree)	Elevation AoA (degree)	Path Loss (dB)	RMS Delay Spread (ns)	
            2.0	           40.0	                 732	           -160.0	          4.6	             69	            -26.9	            258.4	               30	            107.3	             18.2
            2.0	           40.0	                 735	           -160.0	          4.3	             78	            -21.6	            249.0	               24	            101.2	             15.6
            2.0	           40.0	                 739	           -160.0	          4.8	             68	            -22.5	            274.2	               25	            113.6	             20.8
            2.0	           40.0	                 742	           -160.0	          3.8	             72	            -23.8	            255.7	               13	            111.7	             18.8
            2.0	           40.0	                 747	           -160.0	          3.0	             67	            -23.9	            255.6	               38	            100.6	              5.2
            2.0	           40.0	                 750	           -160.0	          4.3	             80	            -22.2	            266.0	               21	            105.6	             16.8
            2.0	           40.0	                 754	           -160.0	          2.6	             74	            -21.7	            246.9	               31	            101.4	             17.0
            2.0	           40.0	                 758	           -160.0	          4.6	             73	            -25.6	            243.5	               32	            105.0	             15.9
            2.0	           40.0	                 761	           -160.0	          5.6	             67	            -21.7	            259.2	               22	            107.8	             25.9
            2.0	           40.0	                 765	           -160.0	          4.0	             86	            -21.8	            253.2	               29	            110.0	             16.2
            2.0	           40.0	                 769	           -160.0	          2.9	             76	            -27.3	            244.2	               23	            106.5	             15.1
            2.0	           40.0	                 773	           -160.0	          2.2	             84	            -18.4	            244.5	               32	            115.7	             27.1
            3.0	           40.8	                 135	            -62.4	          1.8	             76	            -23.1	            255.7	               25	             92.2	              2.8
            3.0	           40.8	                 139	            -83.0	          4.4	             64	            -15.7	            237.0	               68	            112.8	              4.3
            3.0	           40.8	                 139	            -69.1	          5.8	             69	            -17.6	            240.1	               30	             98.5	              8.3
            3.0	           40.8	                 143	            -73.0	          0.0	             72	            -17.8	            253.7	               26	             96.1	              8.7
            3.0	           40.8	                 148	            -71.2	          3.0	             61	            -14.7	            249.1	               45	            100.5	              5.7
            3.0	           40.8	                 152	            -82.8	          1.8	             62	            -14.8	            242.3	               43	            105.8	              8.7
            3.0	           40.8	                 154	            -71.1	          6.2	             70	            -19.0	            248.0	               26	             97.9	             11.6
            3.0	           40.8	                 160	            -82.1	          4.9	             56	            -14.1	            237.7	               44	            110.7	              5.4
            3.0	           40.8	                 164	            -76.3	          2.1	             63	            -18.2	            252.7	               44	            102.4	              8.3
            3.0	           40.8	                 167	            -73.0	          0.3	             68	            -17.7	            246.0	               23	             99.3	             10.3
            3.0	           40.8	                 172	            -77.4	          4.0	             66	            -18.4	            244.6	               35	            102.5	             16.7
            3.0	           40.8	                 176	            -83.4	          3.3	             75	            -19.0	            264.9	               29	            106.3	             18.8
            3.0	           40.8	                 181	            -81.0	          5.4	             79	            -18.9	            242.1	               35	            109.3	             19.7
            3.0	           40.8	                 182	            -83.0	          1.3	             70	            -21.1	            249.3	                1	            112.6	             11.6
            3.0	           40.8	                 189	            -81.6	          0.9	             53	            -19.0	            268.9	               34	            111.6	              3.7
            3.0	           40.8	                 194	            -88.0	          2.6	             64	            -20.7	            265.1	               29	            114.8	             32.1
            3.0	           40.8	                 198	            -87.7	          5.4	             71	            -18.8	            251.9	               26	             96.3	             10.7
            3.0	           40.8	                 203	            -96.0	          2.1	             62	            -19.3	            244.4	               22	            106.2	             12.5
            3.0	           40.8	                 208	            -86.3	          6.0	             62	            -14.9	            251.0	               30	            108.3	             21.9
            3.0	           40.8	                 214	            -86.0	          5.0	             74	            -21.1	            239.3	               51	            115.0	             30.7
            3.0	           40.8	                 216	            -89.8	          3.4	             62	            -21.6	            240.7	               17	            114.0	             25.6
            3.0	           40.8	                 221	            -92.3	          5.7	             78	            -18.1	            236.5	               21	            116.6	             35.1
            3.0	           40.8	                 227	            -90.3	          0.1	             64	            -21.3	            267.1	               35	            117.5	             26.1
            3.0	           40.8	                 231	            -89.6	          1.0	             61	            -24.6	            266.8	               25	            117.6	             24.4
            3.0	           40.8	                 238	            -97.9	          5.3	             64	            -17.1	            243.3	               51	            109.7	             13.2
            3.0	           40.8	                 311	           -102.3	          2.3	             74	            -23.8	            249.6	               30	             99.1	              9.9
            3.0	           40.8	                 312	           -104.2	          0.2	             69	            -15.2	            248.1	               15	            110.9	             15.6
            3.0	           40.8	                 315	           -101.2	          2.3	             66	            -17.7	            261.8	               14	            121.7	             56.0
            3.0	           40.8	                 320	           -108.2	          4.1	             65	            -24.2	            253.8	               28	            105.9	             14.0
            3.0	           40.8	                 325	           -101.6	          1.5	             67	            -18.5	            244.3	               41	            106.7	             17.6
            3.0	           40.8	                 327	           -107.6	          0.7	             76	            -23.1	            247.3	               29	            101.4	             11.9
            3.0	           40.8	                 329	            -95.4	          6.1	             60	            -19.0	            248.6	                9	            122.9	             80.3
            3.0	           40.8	                 335	           -103.3	          4.6	             72	            -20.6	            249.3	               33	            103.4	             15.2
            3.0	           40.8	                 339	            -99.6	          4.4	             74	            -22.3	            262.4	               33	            105.8	             18.3
            3.0	           40.8	                 343	           -116.7	          3.2	             73	            -18.2	            240.3	               39	            107.9	             17.5
            3.0	           40.8	                 346	           -104.3	          4.4	             75	            -20.5	            245.5	               29	            102.4	             14.1
            3.0	           40.8	                 350	           -108.6	          5.0	             64	            -24.3	            252.7	               30	            109.1	             17.5
            3.0	           40.8	                 355	           -103.0	          1.3	             70	            -24.8	            260.9	               35	            112.2	             30.5
            3.0	           40.8	                 359	           -107.9	          0.1	             56	            -20.9	            259.8	               36	            121.1	             32.4
            3.0	           40.8	                 362	           -111.2	          5.0	             65	            -20.0	            243.8	               29	            100.5	             12.5
            3.0	           40.8	                 367	           -102.4	          5.9	             63	            -22.7	            245.1	               38	            109.1	             21.2
            3.0	           40.8	                 370	           -111.3	          1.2	             61	            -20.5	            257.7	               22	            115.5	             24.4
            3.0	           40.8	                 375	           -112.5	          1.4	             81	            -19.1	            248.4	               30	            106.1	             13.3
            3.0	           40.8	                 379	           -117.2	          1.2	             81	            -23.7	            265.3	               31	            111.6	             17.0
            3.0	           40.8	                 383	           -113.7	          2.3	             64	            -18.6	            245.2	               28	            101.3	             13.3
            3.0	           40.8	                 388	           -120.3	          2.4	             63	            -24.1	            243.5	               35	            108.2	             19.9
            3.0	           40.8	                 392	           -116.4	          1.8	             72	            -18.5	            240.3	               30	            100.1	              9.1
            3.0	           40.8	                 396	           -117.7	          0.3	             75	            -15.0	            272.4	               38	            125.1	             28.7
            3.0	           40.8	                 511	           -132.6	          1.3	             66	            -22.5	            249.4	               31	            105.0	             15.2
            3.0	           40.8	                 512	           -129.8	          4.2	             61	            -21.3	            250.5	               18	            114.2	             19.5
            3.0	           40.8	                 517	           -130.8	          2.5	             70	            -19.9	            262.9	               32	            108.9	             24.2
            3.0	           40.8	                 522	           -140.3	          2.3	             62	            -20.3	            242.9	               33	            104.4	             15.9
            3.0	           40.8	                 526	           -136.1	          1.1	             61	            -19.7	            259.1	               28	            117.0	             32.4
            3.0	           40.8	                 530	           -140.4	          2.8	             75	            -25.3	            254.0	               24	             93.3	              3.0
            3.0	           40.8	                 535	           -133.6	          3.0	             63	            -20.7	            264.8	               30	            115.3	             30.0
            3.0	           40.8	                 540	           -143.6	          4.1	             91	            -21.7	            249.9	               26	            122.9	             12.3
            3.0	           40.8	                 543	           -140.4	          2.9	             81	            -20.7	            260.2	               10	            125.5	             11.0
            3.0	           40.8	                 550	           -131.8	          2.3	             68	            -22.4	            252.2	               29	            100.0	             11.9
            3.0	           40.8	                 553	           -144.2	          4.4	             53	            -22.0	            249.1	                3	            135.3	             78.3
            3.0	           40.8	                 686	           -160.0	          5.0	             62	            -22.4	            256.3	               24	            112.3	             19.3
            3.0	           40.8	                 690	           -160.0	          5.9	             80	            -26.5	            265.9	               36	            122.6	             36.7
            3.0	           40.8	                 692	           -159.1	          6.0	             64	            -23.6	            251.6	               29	            107.9	             16.4
            3.0	           40.8	                 698	           -160.0	          2.9	             58	            -18.7	            241.3	               53	            117.1	             13.8
            3.0	           40.8	                 697	           -160.0	          3.0	             58	            -22.8	            264.8	               17	            127.5	             39.5
            3.0	           40.8	                 702	           -160.0	          4.8	             68	            -21.1	            262.4	               26	            105.2	             13.7
            3.0	           40.8	                 705	           -160.0	          4.7	             72	            -25.1	            248.5	               29	            100.8	             11.7
